0.0100;1013.250000
0.0200;1013.248798
0.0300;1013.247596
0.0400;1013.245193
0.0500;1013.241587
0.0600;1013.239184
0.0700;1013.234377
0.0800;1013.229569
0.0900;1013.224762
0.1000;1013.218753
0.1100;1013.212745
0.1200;1013.205534
0.1300;1013.197122
0.1400;1013.188709
0.1500;1013.180297
0.1600;1013.170683
0.1700;1013.161069
0.1800;1013.150254
0.1900;1013.138237
0.2000;1013.126220
0.2100;1013.114203
0.2200;1013.100985
0.2300;1013.087766
0.2400;1013.073347
0.2500;1013.058927
0.2600;1013.043306
0.2700;1013.027685
0.2800;1013.010863
0.2900;1012.994041
0.3000;1012.976018
0.3100;1012.957995
0.3200;1012.938771
0.3300;1012.919547
0.3400;1012.900323
0.3500;1012.879898
0.3600;1012.858272
0.3700;1012.837848
0.3800;1012.815021
0.3900;1012.792195
0.4000;1012.769369
0.4100;1012.745343
0.4200;1012.721316
0.4300;1012.697291
0.4400;1012.672064
0.4500;1012.645637
0.4600;1012.619210
0.4700;1012.592784
0.4800;1012.565157
0.4900;1012.537531
0.5000;1012.508704
0.5100;1012.479878
0.5200;1012.451053
0.5300;1012.421027
0.5400;1012.391002
0.5500;1012.359777
0.5600;1012.328553
0.5700;1012.296128
0.5800;1012.263705
0.5900;1012.231282
0.6000;1012.197659
0.6100;1012.164037
0.6200;1012.129216
0.6300;1012.094395
0.6400;1012.059575
0.6500;1012.023556
0.6600;1011.987537
0.6700;1011.950320
0.6800;1011.913103
0.6900;1011.875887
0.7000;1011.837472
0.7100;1011.799058
0.7200;1011.760646
0.7300;1011.721034
0.7400;1011.681423
0.7500;1011.640614
0.7600;1011.599805
0.7700;1011.558998
0.7800;1011.516993
0.7900;1011.474988
0.8000;1011.432986
0.8100;1011.389784
0.8200;1011.346584
0.8300;1011.302186
0.8400;1011.257789
0.8500;1011.213393
0.8600;1011.167800
0.8700;1011.123408
0.8800;1011.076618
0.8900;1011.031029
0.9000;1010.984243
0.9100;1010.936259
0.9200;1010.889476
0.9300;1010.841495
0.9400;1010.793516
0.9500;1010.744340
0.9600;1010.695165
0.9700;1010.645993
0.9800;1010.595623
0.9900;1010.545255
1.0000;1010.494889
1.0100;1010.444526
1.0200;1010.392965
1.0300;1010.341406
1.0400;1010.288651
1.0500;1010.235897
1.0600;1010.183146
1.0700;1010.130398
1.0800;1010.076452
1.0900;1010.022509
1.1000;1009.968569
1.1100;1009.913432
1.1200;1009.859496
1.1300;1009.803165
1.1400;1009.748036
1.1500;1009.691710
1.1600;1009.635387
1.1700;1009.579067
1.1800;1009.521550
1.1900;1009.465235
1.2000;1009.407724
1.2100;1009.349018
1.2200;1009.291512
1.2300;1009.232811
1.2400;1009.172915
1.2500;1009.114220
1.2600;1009.054330
1.2700;1008.994443
1.2800;1008.934558
1.2900;1008.874676
1.3000;1008.813600
1.3100;1008.752527
1.3200;1008.691456
1.3300;1008.629192
1.3400;1008.568127
1.3500;1008.505869
1.3600;1008.443614
1.3700;1008.380164
1.3800;1008.316718
1.3900;1008.254472
1.4000;1008.189835
1.4100;1008.126399
1.4200;1008.062965
1.4300;1007.998339
1.4400;1007.933715
1.4500;1007.869095
1.4600;1007.803282
1.4700;1007.738669
1.4800;1007.672862
1.4900;1007.607059
1.5000;1007.540063
1.5100;1007.474267
1.5200;1007.407279
1.5300;1007.340294
1.5400;1007.273312
1.5500;1007.206335
1.5600;1007.139360
1.5700;1007.071194
1.5800;1007.003031
1.5900;1006.934872
1.6000;1006.866717
1.6100;1006.798565
1.6200;1006.729222
1.6300;1006.659883
1.6400;1006.591742
1.6500;1006.522411
1.6600;1006.451887
1.6700;1006.382563
1.6800;1006.312048
1.6900;1006.242732
1.7000;1006.172225
1.7100;1006.101721
1.7200;1006.030027
1.7300;1005.959532
1.7400;1005.889041
1.7500;1005.817359
1.7600;1005.745681
1.7700;1005.674007
1.7800;1005.602338
1.7900;1005.530672
1.8000;1005.459011
1.8100;1005.386160
1.8200;1005.313313
1.8300;1005.241664
1.8400;1005.168825
1.8500;1005.095991
1.8600;1005.023161
1.8700;1004.949141
1.8800;1004.876320
1.8900;1004.802309
1.9000;1004.729496
1.9100;1004.655494
1.9200;1004.581496
1.9300;1004.507503
1.9400;1004.433514
1.9500;1004.359530
1.9600;1004.285550
1.9700;1004.211574
1.9800;1004.136410
1.9900;1004.062443
2.0000;1003.987288
2.0100;1003.912137
2.0200;1003.836991
2.0300;1003.763042
2.0400;1003.687905
2.0500;1003.612772
2.0600;1003.536452
2.0700;1003.461329
2.0800;1003.386210
2.0900;1003.311096
2.1000;1003.234794
2.1100;1003.159689
2.1200;1003.083396
2.1300;1003.008300
2.1400;1002.932017
2.1500;1002.855738
2.1600;1002.779465
2.1700;1002.704387
2.1800;1002.628123
2.1900;1002.551863
2.2000;1002.475608
2.2100;1002.399357
2.2200;1002.323112
2.2300;1002.246871
2.2400;1002.169443
2.2500;1002.093212
2.2600;1002.016985
2.2700;1001.940762
2.2800;1001.864545
2.2900;1001.787141
2.3000;1001.710933
2.3100;1001.634730
2.3200;1001.557341
2.3300;1001.481147
2.3400;1001.403767
2.3500;1001.327583
2.3600;1001.251403
2.3700;1001.174038
2.3800;1001.097868
2.3900;1001.020512
2.4000;1000.944352
2.4100;1000.868195
2.4200;1000.790854
2.4300;1000.714708
2.4400;1000.637376
2.4500;1000.561239
2.4600;1000.485106
2.4700;1000.407789
2.4800;1000.331666
2.4900;1000.255548
2.5000;1000.178245
2.5100;1000.102136
2.5200;1000.026032
2.5300;999.948743
2.5400;999.872648
